id,context,response,tags
236,"Give Business name for DecisionResponse.scrubbedClaim.claim.specialtyFieldGroup.dme.cmnQuantity","DME CMN Quantity ",bca
237,"Give Business name for DecisionResponse.scrubbedClaim.claim.specialtyFieldGroup.dme.rcConditionIndicatorCode","DME Condition Indicator Codes ",bca
238,"Give Business name for DecisionResponse.scrubbedClaim.claim.specialtyFieldGroup.dme.rcConditionIndicatorType","DME Condition Indicator Type ",bca
239,"Give Business name for DecisionResponse.scrubbedClaim.claim.specialtyFieldGroup.dme.rcConditionsApplyYN","DME Conditions Apply Flag ",bca
240,"Give Business name for DecisionResponse.scrubbedClaim.claim.specialtyFieldGroup.dme.lastCertificationDate","DME Last Certification Date ",bca
241,"Give Business name for DecisionResponse.scrubbedClaim.claim.specialtyFieldGroup.dme.therapyBeginDate","DME Therapy Begin Date ",bca
242,"Give Business name for DecisionResponse.scrubbedClaim.claim.status.droppedToPaper","Dropped to Paper Flag ",bca
243,"Give Business name for DecisionResponse.scrubbedClaim.claim.workersCompensation.nyForm.durationOfTreatement","Duration Of Treatment ",bca
244,"Give Business name for DecisionResponse.activeInsurance.eligibility.benefits","Eligibility Benefit ",bca
245,"Give Business name for (DecisionResponse.activeInsurance.eligibility.benefits).benefitInfoCode","Eligibility Benefit Information Code ",bca
246,"Give Business name for DecisionResponse.activeInsurance.insurancePackage.eligibilityClass","Eligibility Class ",bca
247,"Give Business name for DecisionResponse.activeInsurance.eligibility.parser.eligibility.covered","Eligibility Covered ",bca
248,"Give Business name for DecisionResponse.activeInsurance.eligibility.groupId","Eligibility Group ID ",bca
249,"Give Business name for DecisionResponse.activeInsurance.eligibility.id","Eligibility ID ",bca
250,"Give Business name for (DecisionResponse.activeInsurance.eligibility.benefits).planCoverageDescription","Eligibility Plan Coverage Description ",bca
251,"Give Business name for flatten((DecisionResponse.activeInsurance.eligibility.benefits).relatedEntity)","Eligibility Related Entity ",bca
252,"Give Business name for DecisionResponse.activeInsurance.verificationNote","Eligibility Verification Note ",bca
253,"Give Business name for DecisionResponse.activeInsurance.insurancePackage.emcCode","EMC Code ",bca
254,"Give Business name for DecisionResponse.activeInsurance.insurancePackage.emcReceiverId","EMC Receiver ID ",bca
255,"Give Business name for DecisionResponse.scrubbedClaim.claim.emergencyServicesDefinerCode","Emergency Services Definer Code ",bca
256,"Give Business name for DecisionResponse.activeInsurance.subscriber.employer.address.phone","Employer Phone ",bca
257,"Give Business name for DecisionResponse.refData.employers","Employers ",bca
258,"Give Business name for DecisionResponse.scrubbedClaim.claim.settings.encounterCode","Encounter Code ",bca
259,"Give Business name for DecisionResponse.activeInsurance.insurancePackage.enrollmentCategory.id","Enrollment Category ID ",bca
260,"Give Business name for DecisionResponse.activeInsurance.insurancePackage.enrollmentCategory.name","Enrollment Category Name ",bca
261,"Give Business name for DecisionResponse.activeInsurance.insurancePackage.medicalGroup.enrollmentStatus","Enrollment Status Entity ",bca
262,"Give Business name for DecisionResponse.scrubbedClaim.claim.specialtyFieldGroup.dialysis.epoetinAmount","Epoetin Starting Dose ",bca
263,"Give Business name for DecisionResponse.scrubbedClaim.claim.epsdtReferral.given","EPSDT Referral Given ",bca
264,"Give Business name for DecisionResponse.scrubbedClaim.claim.specialtyFieldGroup.erTransport.ertDropOffLocationName","ER Transport Drop-Off Location Name ",bca
265,"Give Business name for DecisionResponse.scrubbedClaim.claim.specialtyFieldGroup.erTransport.ertPickupLocationName","ER Transport Pick-Up Location Name ",bca
266,"Give Business name for (DecisionResponse.scrubState).executedBRID","Executed BR ID ",bca
267,"Give Business name for DecisionResponse.scrubbedClaim.claim.workersCompensation.nyForm.returnToWorkOn","Expected Return to Work Date ",bca
268,"Give Business name for DecisionResponse.scrubbedClaim.claim.facilityClaimCodes","Facility Codes ",bca
269,"Give Business name for DecisionResponse.scrubbedClaim.claim.charges.familyPlan","Familiy Plan ",bca
270,"Give Business name for Reference Data.procedureCodeModifiers","Fee Affecting Modifier ",bca
271,"Give Business name for Reference Data.chargeAmounts.revenueCode","Fee Schedule Revenue Code ",bca
272,"Give Business name for CommonUtilities.Get Referral Auth Number(DecisionResponse.activeInsurance.id, DecisionResponse.scrubbedClaim.referenceData)"","Fetch Authorization number ",bca
273,"Give Business name for ProviderBKM.Fetch Provider Type Data( DecisionResponse:DecisionResponse, ProviderTypeId: Supervising Provider Type ID )"","Fetch Provider Type ",bca
274,"Give Business name for DecisionResponse.scrubbedClaim.claim.filingLimitLength","Filing Limit In Days For Claim ",bca
275,"Give Business name for DecisionResponse.scrubbedClaim.claim.siblingClaimId","Split Claim Number ",bca
276,"Give Business name for DecisionResponse.scrubbedClaim.claim.diagnosis.primaryCode","First Claim Diagnosis Code ",bca
277,"Give Business name for DecisionResponse.scrubbedClaim.claim.fqhcCostReportingYN","FQHC Cost Reporting Flag ",bca
278,"Give Business name for DecisionResponse.scrubbedClaim.claim.settings.credentialed.fqhc","FQHC Credentialed ",bca
279,"Give Business name for DecisionResponse.scrubbedClaim.claim.settings.autoFormatting.fqhc","FQHC Encounter Formatting ",bca
280,"Give Business name for DecisionResponse.activeInsurance.insurancePackage.settings.insuranceGroups.fqhc","FQHC Insurance Group ",bca
281,"Give Business name for DecisionResponse.scrubbedClaim.claim.claimFrequency","Frequency Code ",bca
282,"Give Business name for PatientOrInsuranceBKM.Get PrePayment Details(    DecisionResponse : DecisionResponse,          PrepaymentID : 61 )"","Get PrePayment Details ",bca
283,"Give Business name for DecisionResponse.scrubbedClaim.claim.ruleAttributes.gr11021Hold","Global Rule 11021 Flag ",bca
284,"Give Business name for DecisionResponse.scrubbedClaim.claim.ruleAttributes.gr11811Hold","Global Rule 11811 Flag ",bca
285,"Give Business name for DecisionResponse.scrubbedClaim.claim.ruleAttributes.gr13051Hold","Global Rule 13051 Flag ",bca
286,"Give Business name for DecisionResponse.scrubbedClaim.claim.ruleAttributes.gr4681Hold","Global Rule 4681 Flag ",bca
287,"Give Business name for DecisionResponse.activeInsurance.insurancePackage.governmentFundedTypeId","Government Funded Type ID ",bca
288,"Give Business name for PatientOrInsuranceBKM.Fetch Government Funded Type Name( GovernmentFundedTypeId:DecisionResponse.activeInsurance.insurancePackage.governmentFundedTypeId, ReferenceData:DecisionResponse.scrubbedClaim.referenceData )"","Government Funded Type Name ",bca
289,"Give Business name for DecisionResponse.scrubbedClaim.claim.groupBillingYN","Group Billing ",bca
290,"Give Business name for DecisionResponse.scrubbedClaim.claim.patient.guarantor.address","Guarantor Address Entity ",bca
291,"Give Business name for DecisionResponse.scrubbedClaim.claim.patient.guarantor.address.street1","Guarantor Address Line 1 ",bca
292,"Give Business name for DecisionResponse.scrubbedClaim.claim.patient.guarantor.address.city","Guarantor City ",bca
293,"Give Business name for DecisionResponse.scrubbedClaim.claim.patient.guarantor.address.country","Guarantor Country ",bca
294,"Give Business name for DecisionResponse.scrubbedClaim.claim.patient.guarantor.birthDate","Guarantor Date Of Birth ",bca
295,"Give Business name for DecisionResponse.scrubbedClaim.claim.patient.guarantor.firstName","Guarantor First Name ",bca
296,"Give Business name for DecisionResponse.scrubbedClaim.claim.patient.guarantor.lastName","Guarantor Last Name ",bca
297,"Give Business name for DecisionResponse.scrubbedClaim.claim.patient.client.guarantor.nameSuffix","Guarantor Name Suffix With Special Characters ",bca
298,"Give Business name for DecisionResponse.scrubbedClaim.claim.patient.guarantor.address.state","Guarantor State ",bca
299,"Give Business name for DecisionResponse.scrubbedClaim.claim.patient.guarantor.address.zip","Guarantor ZIP Code ",bca
300,"Give Business name for DecisionResponse.healthCareClaimType","Healthcare ClaimType ",bca
301,"Give Business name for DecisionResponse.scrubbedClaim.claim.specialtyFieldGroup.dialysis.hematocritAmount","Hematocrit Level ",bca
302,"Give Business name for DecisionResponse.scrubbedClaim.claim.hemoglobinAmount","Hemoglobin Level ",bca
303,"Give Business name for DecisionResponse.scrubbedClaim.claim.historicalNotes","Historical Notes ",bca
304,"Give Business name for DecisionResponse.scrubbedClaim.referenceData.historicalClaims","History Claims ",bca
305,"Give Business name for DecisionResponse.scrubbedClaim.claim.appointment.holidayYN","Holiday Flag ",bca
306,"Give Business name for DecisionResponse.scrubbedClaim.claim.specialtyFieldGroup.hospice.hospiceOrHomeHealthAgencyID","Hospice-Home Health Agency ID ",bca
307,"Give Business name for DecisionResponse.scrubbedClaim.claim.settings.hospitalClaim","Hospital Claim Flag ",bca
308,"Give Business name for Reference Data.departments","Hospital Department Flag ",bca
309,"Give Business name for DecisionResponse.refData.patientRoundingDetails.admitDate","Hospital Rounding List Admission Date ",bca
310,"Give Business name for ClaimBKM.Fetch Patient Rounding Details( DecisionResponse: DecisionResponse, Filter By:{<conditions>})"","Hospital Rounding List ID ",bca
311,"Give Business name for DecisionResponse.scrubbedClaim.claim.hospitalization","Hospitalization Dates ",bca
312,"Give Business name for DecisionResponse.scrubbedClaim.claim.hospitalization.fromDate","Hospitalization From Date ",bca
313,"Give Business name for DecisionResponse.scrubbedClaim.claim.hospitalization.toDate","Hospitalization To Date ",bca
314,"Give Business name for DecisionResponse.scrubbedClaim.claim.workersCompensation.caForm.howAccidentOccurred","How Accident Occured ",bca
315,"Give Business name for DecisionResponse.scrubbedClaim.claim.claimFormats.ilForm.providerRoleCode","IL Medicaid DPA 1443 Provider Role ",bca
316,"Give Business name for DecisionResponse.scrubbedClaim.claim.sterilization","IL Medicaid DPA 2360 Sterilization Abortion ",bca
317,"Give Business name for DecisionResponse.scrubbedClaim.claim.specialtyFieldGroup.immunization.batchNumber","Immunization Batch Number ",bca
318,"Give Business name for DecisionResponse.scrubbedClaim.claim.caserate.local7CaserateCodes","In Vitro Sciences Local Rule 7 Case Rate Codes ",bca
319,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.individualBilling","Individual Billing ",bca
320,"Give Business name for DecisionResponse.scrubbedClaim.claim.workersCompensation.caForm.infoRequested","Info Requested ",bca
321,"Give Business name for DecisionResponse.scrubbedClaim.claim.specialtyFieldGroup.spinalManipulation.initialTreatmentDate","Initial Treatment Date ",bca
322,"Give Business name for DecisionResponse.scrubbedClaim.claim.workersCompensation.caForm.injuredAt","Injured At Address ",bca
323,"Give Business name for DecisionResponse.scrubbedClaim.claim.workersCompensation.nyForm.injuryCircumstance","Injury Circumstance ",bca
324,"Give Business name for DecisionResponse.scrubbedClaim.claim.workersCompensation.nyForm.injuryCity","Injury City ",bca
325,"Give Business name for DecisionResponse.activeInsurance.injuryDate","Injury Date ",bca
326,"Give Business name for DecisionResponse.activeInsurance.cancelledDate","Insurance Cancelled Flag ",bca
327,"Give Business name for DecisionResponse.activeInsurance.eligible","Insurance Eligible Flag ",bca
328,"Give Business name for DecisionResponse.activeInsurance.expirationDate","Insurance Expiration Date ",bca
329,"Give Business name for DecisionResponse.activeInsurance.expirationDateLastUpdatedBy","Insurance Expiration Date Last Updated by ",bca
330,"Give Business name for DecisionResponse.activeInsurance.groupId","Insurance Group ID ",bca
331,"Give Business name for DecisionResponse.scrubbedClaim.claim.referralAuthorization.insurance.id","Insurance ID Associated with Authorization ",bca
332,"Give Business name for DecisionResponse.activeInsurance.insurancePackage.payerAddress.street1","Insurance Package Address Line 1 ",bca
333,"Give Business name for DecisionResponse.activeInsurance.insurancePackage.payerAddress.street2","Insurance Package Address Line 2 ",bca
334,"Give Business name for DecisionResponse.activeInsurance.insurancePackage.payerAddress.city","Insurance Package City ",bca
335,"Give Business name for DecisionResponse.activeInsurance.insurancePackage.countryId","Insurance Package Country ID ",bca
336,"Give Business name for DecisionResponse.activeInsurance.insurancePackage.expirationDate","Insurance Package Expiration Date ",bca
337,"Give Business name for DecisionResponse.activeInsurance.insurancePackage.fullName","Insurance Package Full Name ",bca
338,"Give Business name for DecisionResponse.activeInsurance.insurancePackage.medicalGroup.groupNumber","Insurance Package Medical Group Number ",bca
339,"Give Business name for DecisionResponse.activeInsurance.insurancePackage.nameUnstripped","Insurance Package Name With Special Characters ",bca
340,"Give Business name for DecisionResponse.activeInsurance.insurancePackage.pending","Insurance Package Pending ",bca
341,"Give Business name for DecisionResponse.activeInsurance.insurancePackage.payerAddress.state","Insurance Package State ",bca
342,"Give Business name for DecisionResponse.activeInsurance.insurancePackage.payerAddress.zip","Insurance Package ZIP Code ",bca
343,"Give Business name for Reference Data.insuranceProductTypes","Insurance Product Type ",bca
344,"Give Business name for DecisionResponse.activeInsurance.insurancePackage.packagePrograms.programId","Insurance Program ID ",bca
345,"Give Business name for DecisionResponse.activeInsurance.insurancePackage.insuranceReportingCategory.id","Insurance Reporting Category ID ",bca
346,"Give Business name for DecisionResponse.activeInsurance.insurancePackage.insuranceReportingCategory.name","Insurance Reporting Category Name ",bca
347,"Give Business name for DecisionResponse.activeInsurance.insurancePackage.insuranceTypeId","Insurance Type ID ",bca
348,"Give Business name for Reference Data.interfaceVendors","Interface Vendor ",bca
349,"Give Business name for flatten([DecisionResponse.scrubbedClaim.referenceData.interfaceVendors.name])","Interface Vendor Name ",bca
350,"Give Business name for DecisionResponse.activeInsurance.insurancePackage.invalidMemberIdFormat","Invalid ID Number Format ",bca
351,"Give Business name for DecisionResponse.activeInsurance.insurancePackage.invalidMemberIdFormatExample","Invalid Member ID Format Example ",bca
352,"Give Business name for DecisionResponse.scrubbedClaim.claim.specialtyFieldGroup.miscellaneousFields.ideNumber","Investigational Device Exemption Number ",bca
353,"Give Business name for DecisionResponse.scrubbedClaim.claim.invoiceId","Invoice ID ",bca
354,"Give Business name for DecisionResponse.activeInsurance.insurancePackage.invoiceNoteYN","Invoice Note For Insurance Package Flag ",bca
355,"Give Business name for DecisionResponse.activeInsurance.memberIdValidationResult","Is Member ID Invalid ",bca
356,"Give Business name for DecisionResponse.activeInsurance.memberId = DecisionResponse.activeInsurance.groupId","Is Member ID same as Insurance Group ID ",bca
357,"Give Business name for DecisionResponse.scrubbedClaim.claim.workersCompensation.caForm.regularWorkYN","Is patient able To perform regular work? ",bca
358,"Give Business name for DecisionResponse.activeInsurance.memberId = DecisionResponse.scrubbedClaim.claim.patient.ssn","Is the Patient Member ID same as the Patient SSN ",bca
359,"Give Business name for DecisionResponse.scrubbedClaim.claim.specialtyFieldGroup.dialysis.hctHgbDate","Last HCT-Hgb Test Date ",bca
360,"Give Business name for DecisionResponse.scrubbedClaim.claim.specialtyFieldGroup.maternity.lastMenstrualPeriodDate","Last Menstrual Period Date ",bca
361,"Give Business name for flatten(flatten(Supervising Provider Number Exists Check).Provider Number)[1]","Legacy Num ",bca
362,"Give Business name for DecisionResponse.scrubbedClaim.referenceData.legacyNumber","Legacy Number ",bca
363,"Give Business name for DecisionResponse.scrubbedClaim.referenceData.rules2EnabledBizReq","ListOfEnabledBizRules ",bca
364,"Give Business name for DecisionResponse.scrubState.overrideBizReqIds","ListOfOverrideBizReqIdAndCrossModelOverrides ",bca
365,"Give Business name for DecisionResponse.activeInsurance.insurancePackage.customInsuranceGroup.name","Local Reporting Category Name ",bca
366,"Give Business name for DecisionResponse.scrubbedClaim.claim.initialElectronicSubmission","Mandated Electronic Claim Submission Flag ",bca
367,"Give Business name for DateBKM.Add Business Days(     decisionResponse: DecisionResponse,    inputDate: Claim Created Date,    daysToBeAdded: 10    )"","Max Hold Date ",bca
368,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.address","Medical Group Address ",bca
369,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.address.street2","Medical Group Address Line 2 ",bca
370,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.billableOverride","Medical Group Billable ",bca
371,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.billingName","Medical Group Billing Name ",bca
372,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.address.city","Medical Group City ",bca
373,"Give Business name for DecisionResponse.activeInsurance.insurancePackage.medicalGroup.enrollmentStatus.credentialingId","Medical Group Credentialing ID ",bca
374,"Give Business name for DecisionResponse.activeInsurance.insurancePackage.medicalGroup.enrollmentStatus.credentialingStatusId","Medical Group Credentialing Status ID ",bca
375,"Give Business name for DecisionResponse.scrubbedClaim.referenceData.enrollmentParameter","Medical Group DME Enrollment Flag ",bca
376,"Give Business name for DecisionResponse.refData.medicalGroupEnrollmentStatuses","Medical Group Enrollment Statuses ",bca
377,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.entityType","Medical Group Entity Type ID ",bca
378,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.id","Medical Group ID ",bca
379,"Give Business name for DecisionResponse.activeInsurance.insurancePackage.medicalGroup.enrollmentStatus.legacyNumber","Medical Group Legacy Number ",bca
380,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.name","Medical Group Name ",bca
381,"Give Business name for DecisionResponse.activeInsurance.insurancePackage.medicalGroup.groupNumber.npi","Medical Group NPI ",bca
382,"Give Business name for (PatientOrInsuranceBKM.Fetch Primary PayerDecisionResponse).insurancePackage.medicalGroup.enrollmentStatus.payerNpiNumber","Medical Group NPI from Primary Payer Enrollment ",bca
383,"Give Business name for DecisionResponse.activeInsurance.insurancePackage.medicalGroup.enrollmentStatus.npiOnFilesStatusId","Medical Group NPI On File ",bca
384,"Give Business name for DecisionResponse.activeInsurance.insurancePackage.medicalGroup.groupNumber.npiVerifiedStatusId","Medical Group NPI Verified Status ",bca
385,"Give Business name for DecisionResponse.activeInsurance.insurancePackage.medicalGroup.groupNumber.number","Medical Group Number ",bca
386,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.ownedByHospitalYN","Medical Group Owned By Hospital Flag ",bca
387,"Give Business name for DecisionResponse.activeInsurance.insurancePackage.medicalGroup.enrollmentStatus.id","Medical Group Payer Enrollment ID ",bca
388,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.address.phone","Medical Group Phone ",bca
389,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.address.state","Medical Group State ",bca
390,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.statementReturnInfo.address.street1","Medical Group Statement Return Address 1 ",bca
391,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.statementReturnInfo.address.street2","Medical Group Statement Return Address 2 ",bca
392,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.statementReturnInfo.name","Medical Group Statement Return Address Name ",bca
393,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.statementReturnInfo.address.city","Medical Group Statement Return City ",bca
394,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.statementReturnInfo.address.state","Medical Group Statement Return State ",bca
395,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.statementReturnInfo.address.zip","Medical Group Statement Return Zip ",bca
396,"Give Business name for DecisionResponse.activeInsurance.insurancePackage.medicalGroup.groupNumber.ansiSpecialtyId","Medical Group Taxonomy From Payer Enrollment ",bca
397,"Give Business name for (PatientOrInsuranceBKM.Fetch Primary PayerDecisionResponse).insurancePackage.medicalGroup.enrollmentStatus.ansiSpecialtyId","Medical Group Taxonomy from Primary Payer Enrollment ",bca
398,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.address.zip","Medical Group ZIP Code ",bca
399,"Give Business name for DecisionResponse.refData.changeMedicalGroups","Medical Groups ",bca
400,"Give Business name for ProviderBKM.Medical EnrollmentStatus Legacy Number(DecisionResponse.activeInsurance.insurancePackage.medicalGroup.enrollmentStatus.enrollmentCategoryId, Decision Response)"","Medicalgroup Enrollment Status Legacy Number ",bca
401,"Give Business name for (PatientOrInsuranceBKM.Fetch Primary PayerDecisionResponse).insurancePackage.mspInsuranceTypeId","Medicare Primary Payer Insurance Type ID ",bca
402,"Give Business name for DecisionResponse.activeInsurance.insurancePackage.settings.medicareReplacement","Medicare Replacement Flag ",bca
403,"Give Business name for (Secondary Payer).insurancePackage.mspInsuranceTypeCode","Medicare Secondary Payer Insurance Type ID ",bca
404,"Give Business name for DecisionResponse.activeInsurance.memberId","Member ID ",bca
405,"Give Business name for DecisionResponse.activeInsurance.insurancePackage.memberIdFormatExample","Member ID Format Example ",bca
406,"Give Business name for DateBKM.Add Business Days(     decisionResponse: DecisionResponse,    inputDate: Claim Created Date,    daysToBeAdded: 5    )"","Min Hold Date ",bca
407,"Give Business name for DecisionResponse.scrubbedClaim.claim.specialtyFieldGroup.miscellaneousFields","Miscellaneous Entity ",bca
408,"Give Business name for DecisionResponse.scrubbedClaim.claim.workersCompensation.caForm.natureOfBusiness","Nature Of Business ",bca
409,"Give Business name for DecisionResponse.scrubbedClaim.claim.workersCompensation.caForm.needForReferral","Need For Referral Or Consultation ",bca
410,"Give Business name for DecisionResponse.scrubbedClaim.claim.workersCompensation.caForm.needForSurgery","Need For Surgery Or Hospitalization ",bca
411,"Give Business name for DecisionResponse.networkId","Network ID ",bca
412,"Give Business name for DecisionResponse.scrubbedClaim.crossModel.newNPIStatusID","New NPI Status ID ",bca
413,"Give Business name for DecisionResponse.scrubbedClaim.claim.claimFormats.nyForm.patientWorking","New York Workers Comp C-4 Is Patient Working ",bca
414,"Give Business name for DecisionResponse.scrubbedClaim.claim.claimFormats.nyForm.permanentRestriction","New York Workers Comp C-4 Permanent Restriction ",bca
415,"Give Business name for DecisionResponse.scrubbedClaim.claim.claimFormats.nyForm.reachedMaxImprovement","New York Workers Comp C-4 Reached Maximum Improvement ",bca
416,"Give Business name for DecisionResponse.scrubbedClaim.claim.claimFormats.nyForm.typeOfReport","New York Workers Comp C-4 Type Of Report ",bca
417,"Give Business name for DecisionResponse.scrubbedClaim.claim.claimFormats.nyForm.wasWorkInjuryCause","New York Workers Comp C-4 Was Work Injury Cause ",bca
418,"Give Business name for DecisionResponse.activeInsurance.insurancePackage.providerNonParYN","Non Participating Provider ",bca
419,"Give Business name for DecisionResponse.scrubbedClaim.claim.workersCompensation.nyForm.notSolelyRelatedToAutoAccident","Not Solely Related to Auto Accident ",bca
420,"Give Business name for DecisionResponse.scrubbedClaim.referenceData.validEnrollmentStatuses.npi","NPI Of Valid Enrollment Status ",bca
421,"Give Business name for DecisionResponse.activeInsurance.insurancePackage.claimSubmissionCategory.npiStatusId","NPI Status ID ",bca
422,"Give Business name for DecisionResponse.scrubbedClaim.claim.workersCompensation.nyForm.mcaidHcfa22G","NYMcaidHCFA 22G ",bca
423,"Give Business name for DecisionResponse.scrubbedClaim.claim.claimFormats.nyForm.adjustmentyn","NYMcaidHCFA Adjustment Flag ",bca
424,"Give Business name for DecisionResponse.scrubbedClaim.claim.claimFormats.nyForm.emergencyRelatedYN","NYMcaidHCFA Emergency Related Flag ",bca
425,"Give Business name for DecisionResponse.scrubbedClaim.claim.claimFormats.nyForm.abortionCode","NYMcaidHCFA Paper Sterilization-Abortion Code ",bca
426,"Give Business name for DecisionResponse.scrubbedClaim.claim.workersCompensation.caForm.xrayLabResults","Objective Findings XRay And Laboratory Results ",bca
427,"Give Business name for DecisionResponse.scrubbedClaim.claim.facilityCodes.occurrenceCodes.occurrenceCode01","Occurrence Code 01 ",bca
428,"Give Business name for DecisionResponse.scrubbedClaim.claim.facilityCodes.occurrenceCodes.occurrenceCode02","Occurrence Code 02 ",bca
429,"Give Business name for DecisionResponse.scrubbedClaim.claim.facilityCodes.occurrenceCodes.occurrenceCode03","Occurrence Code 03 ",bca
430,"Give Business name for DecisionResponse.scrubbedClaim.claim.facilityCodes.occurrenceCodes.occurrenceCode04","Occurrence Code 04 ",bca
431,"Give Business name for DecisionResponse.scrubbedClaim.claim.facilityCodes.occurrenceCodes.occurrenceCode05","Occurrence Code 05 ",bca
432,"Give Business name for DecisionResponse.scrubbedClaim.claim.facilityCodes.occurrenceCodes.occurrenceCode10","Occurrence Code 10 ",bca
433,"Give Business name for DecisionResponse.scrubbedClaim.claim.facilityCodes.occurrenceCodes.occurrenceCode18","Occurrence Code 18 ",bca
434,"Give Business name for DecisionResponse.scrubbedClaim.claim.facilityCodes.occurrenceCodes.occurrenceCode19","Occurrence Code 19 ",bca
435,"Give Business name for DecisionResponse.scrubbedClaim.claim.facilityCodes.occurrenceCodes.occurrenceCode21","Occurrence Code 21 ",bca
436,"Give Business name for DecisionResponse.scrubbedClaim.claim.facilityCodes.occurrenceCodes.occurrenceCode24","Occurrence Code 24 ",bca
437,"Give Business name for DecisionResponse.scrubbedClaim.claim.facilityCodes.occurrenceCodes.occurrenceCode25","Occurrence Code 25 ",bca
438,"Give Business name for DecisionResponse.scrubbedClaim.claim.facilityCodes.occurrenceCodes.occurrenceCodeA1","Occurrence Code A1 ",bca
439,"Give Business name for DecisionResponse.scrubbedClaim.claim.facilityCodes.occurrenceCodes.occurrenceCodeA2","Occurrence Code A2 ",bca
440,"Give Business name for DecisionResponse.scrubbedClaim.claim.facilityCodes.occurrenceCodes.occurrenceCodeA3","Occurrence Code A3 ",bca
441,"Give Business name for DecisionResponse.scrubbedClaim.claim.facilityCodes.occurrenceCodes.occurrenceCodeB1","Occurrence Code B1 ",bca
442,"Give Business name for DecisionResponse.scrubbedClaim.claim.facilityCodes.occurrenceCodes.occurrenceCodeB2","Occurrence Code B2 ",bca
443,"Give Business name for DecisionResponse.scrubbedClaim.claim.facilityCodes.occurrenceCodes.occurrenceCodeB3","Occurrence Code B3 ",bca
444,"Give Business name for DecisionResponse.scrubbedClaim.claim.facilityCodes.occurrenceCodes.occurrenceCodeC1","Occurrence Code C1 ",bca
445,"Give Business name for DecisionResponse.scrubbedClaim.claim.facilityCodes.occurrenceCodes.occurrenceCodeC2","Occurrence Code C2 ",bca
446,"Give Business name for DecisionResponse.scrubbedClaim.claim.facilityCodes.occurrenceCodes.occurrenceCodeC3","Occurrence Code C3 ",bca
447,"Give Business name for DecisionResponse.scrubbedClaim.claim.facilityClaimCodes.occurrenceCodes","Occurrence Codes ",bca
448,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.providerGroup.providers.operatingProvider","Operating Provider ",bca
449,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.providerGroup.providers.operatingProvider.address","Operating Provider Address ",bca
450,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.providerGroup.providers.operatingProvider.entityType.id","Operating Provider Entity ID ",bca
451,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.providerGroup.providers.operatingProvider.entityType","Operating Provider Entity Type ",bca
452,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.providerGroup.providers.operatingProvider.id","Operating Provider ID ",bca
453,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.providerGroup.providers.operatingProvider.lastName","Operating Provider Last Name ",bca
454,"Give Business name for DecisionResponse.activeInsurance.insurancePackage.operatingProviderNumber.npi","Operating Provider NPI ",bca
455,"Give Business name for DecisionResponse.activeInsurance.insurancePackage.operatingProviderNumber","Operating Provider Number ",bca
456,"Give Business name for DecisionResponse.scrubbedClaim.referenceData.oppsAddendumbs","Opps Adden Dumbs ",bca
457,"Give Business name for DecisionResponse.refData.oppsAddendumes","Opps Addendumes ",bca
458,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.providerGroup.providers.orderingProvider","Ordering Provider ",bca
459,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.providerGroup.providers.orderingProvider.address","Ordering Provider Address ",bca
460,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.providerGroup.providers.orderingProvider.entityType","Ordering Provider Entity Type ",bca
461,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.providerGroup.providers.orderingProvider.entityType.id","Ordering Provider Entity Type ID ",bca
462,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.providerGroup.providers.orderingProvider.firstName","Ordering Provider First Name ",bca
